,No,Year,Material,Type,Coat,Surface_Charge,Diameter (nm),Cell_Type,Human_Animal,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Cell_Viability (%),DOI
1515,1516,2019,Au,I,None,Negative,6,HEK293,H,Embryonic,L,24,400,81.479,10.1007/s10876-019-01695-5
1516,1517,2019,Au,I,Citrate,unknown,12.5,HEK293,H,Embryonic,L,24,50,87.945,10.1007/s10876-019-01695-5
1517,1518,2019,Au,I,Citrate,unknown,12.5,HEK293,H,Embryonic,L,24,100,78.082,10.1007/s10876-019-01695-5
1518,1519,2019,Au,I,Citrate,unknown,12.5,HEK293,H,Embryonic,L,24,200,66.904,10.1007/s10876-019-01695-5
1519,1520,2019,Au,I,Citrate,unknown,12.5,HEK293,H,Embryonic,L,24,400,48.164,10.1007/s10876-019-01695-5
1520,1521,2019,Au,I,None,Negative,6,H1299,H,Adult,L,24,50,89.18,10.1007/s10876-019-01695-5
1521,1522,2019,Au,I,None,Negative,6,H1299,H,Adult,L,24,100,72.85,10.1007/s10876-019-01695-5
1522,1523,2019,Au,I,None,Negative,6,H1299,H,Adult,L,24,200,57.024,10.1007/s10876-019-01695-5
1523,1524,2019,Au,I,None,Negative,6,H1299,H,Adult,L,24,400,47.125,10.1007/s10876-019-01695-5
1524,1525,2019,Au,I,Citrate,unknown,12.5,H1299,H,Adult,L,24,50,90.82,10.1007/s10876-019-01695-5
1525,1526,2019,Au,I,Citrate,unknown,12.5,H1299,H,Adult,L,24,100,83.695,10.1007/s10876-019-01695-5
1526,1527,2019,Au,I,Citrate,unknown,12.5,H1299,H,Adult,L,24,200,75.687,10.1007/s10876-019-01695-5
1527,1528,2019,Au,I,Citrate,unknown,12.5,H1299,H,Adult,L,24,400,71.841,10.1007/s10876-019-01695-5
1528,1529,2019,Au,I,None,Negative,6,MCF-7,H,Adult,L,24,50,86.145,10.1007/s10876-019-01695-5
1529,1530,2019,Au,I,None,Negative,6,MCF-7,H,Adult,L,24,100,69.675,10.1007/s10876-019-01695-5
1530,1531,2019,Au,I,None,Negative,6,MCF-7,H,Adult,L,24,200,43.917,10.1007/s10876-019-01695-5
1531,1532,2019,Au,I,None,Negative,6,MCF-7,H,Adult,L,24,400,32.09,10.1007/s10876-019-01695-5
1532,1533,2019,Au,I,Citrate,unknown,12.5,MCF-7,H,Adult,L,24,50,91.84,10.1007/s10876-019-01695-5
1533,1534,2019,Au,I,Citrate,unknown,12.5,MCF-7,H,Adult,L,24,100,84.568,10.1007/s10876-019-01695-5
1534,1535,2019,Au,I,Citrate,unknown,12.5,MCF-7,H,Adult,L,24,200,75.632,10.1007/s10876-019-01695-5
1535,1536,2019,Au,I,Citrate,unknown,12.5,MCF-7,H,Adult,L,24,400,68.711,10.1007/s10876-019-01695-5
1536,1537,2019,Au,I,None,Negative,6,A549,H,Adult,L,24,50,78.221,10.1007/s10876-019-01695-5
1537,1538,2019,Au,I,None,Negative,6,A549,H,Adult,L,24,100,68.798,10.1007/s10876-019-01695-5
1538,1539,2019,Au,I,None,Negative,6,A549,H,Adult,L,24,200,52.139,10.1007/s10876-019-01695-5
1539,1540,2019,Au,I,None,Negative,6,A549,H,Adult,L,24,400,30.264,10.1007/s10876-019-01695-5
1540,1541,2019,Au,I,Citrate,unknown,12.5,A549,H,Adult,L,24,50,88.654,10.1007/s10876-019-01695-5
1541,1542,2019,Au,I,Citrate,unknown,12.5,A549,H,Adult,L,24,100,78.642,10.1007/s10876-019-01695-5
1542,1543,2019,Au,I,Citrate,unknown,12.5,A549,H,Adult,L,24,200,67.704,10.1007/s10876-019-01695-5
1543,1544,2019,Au,I,Citrate,unknown,12.5,A549,H,Adult,L,24,400,60.805,10.1007/s10876-019-01695-5
1558,1559,2019,Au,I,CYS,Negative,-,L929,A,Adult,L,24,1,105.29,10.3762/bxiv.2019.15.v1
1559,1560,2019,Au,I,CYS,Negative,-,L929,A,Adult,L,24,5,102.65,10.3762/bxiv.2019.15.v1
1560,1561,2019,Au,I,CYS,Negative,-,L929,A,Adult,L,24,10,104.23,10.3762/bxiv.2019.15.v1
1561,1562,2019,Au,I,CYS,Negative,-,L929,A,Adult,L,24,25,96.825,10.3762/bxiv.2019.15.v1
1562,1563,2019,Au,I,CYS,Negative,-,L929,A,Adult,L,24,50,90.476,10.3762/bxiv.2019.15.v1
1563,1564,2019,Au,I,CYS,Negative,-,L929,A,Adult,L,24,100,87.831,10.3762/bxiv.2019.15.v1
1564,1565,2019,Au,I,CYS,Negative,-,L929,A,Adult,L,24,300,69.312,10.3762/bxiv.2019.15.v1
1565,1566,2019,Au,I,GSH,Negative,-,L929,A,Adult,L,24,1,106.35,10.3762/bxiv.2019.15.v1
1566,1567,2019,Au,I,GSH,Negative,-,L929,A,Adult,L,24,5,109.52,10.3762/bxiv.2019.15.v1
1567,1568,2019,Au,I,GSH,Negative,-,L929,A,Adult,L,24,10,106.88,10.3762/bxiv.2019.15.v1
1568,1569,2019,Au,I,GSH,Negative,-,L929,A,Adult,L,24,25,102.12,10.3762/bxiv.2019.15.v1
1569,1570,2019,Au,I,GSH,Negative,-,L929,A,Adult,L,24,50,92.063,10.3762/bxiv.2019.15.v1
1570,1571,2019,Au,I,GSH,Negative,-,L929,A,Adult,L,24,100,95.238,10.3762/bxiv.2019.15.v1
1571,1572,2019,Au,I,GSH,Negative,-,L929,A,Adult,L,24,300,95.238,10.3762/bxiv.2019.15.v1
1572,1573,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,0.3,84.876,10.1007/s10856-019-6221-2
1573,1574,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,0.6,82.008,10.1007/s10856-019-6221-2
1574,1575,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,1.2,79.27,10.1007/s10856-019-6221-2
1575,1576,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,2.5,75.88,10.1007/s10856-019-6221-2
1576,1577,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,5,72.49,10.1007/s10856-019-6221-2
1577,1578,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,0.3,91.265,10.1007/s10856-019-6221-2
1578,1579,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,0.6,90.352,10.1007/s10856-019-6221-2
1579,1580,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,1.2,66.623,10.1007/s10856-019-6221-2
1580,1581,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,2.5,44.329,10.1007/s10856-019-6221-2
1581,1582,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,5,40.808,10.1007/s10856-019-6221-2
1582,1583,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,0.3,99.739,10.1007/s10856-019-6221-2
1583,1584,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,0.6,99.087,10.1007/s10856-019-6221-2
1584,1585,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,1.2,97.523,10.1007/s10856-019-6221-2
1585,1586,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,2.5,97.262,10.1007/s10856-019-6221-2
1586,1587,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,5,96.61,10.1007/s10856-019-6221-2
1587,1588,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,0.3,98.705,10.1007/s10856-019-6221-2
1588,1589,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,0.6,100.29,10.1007/s10856-019-6221-2
1589,1590,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,1.2,100.58,10.1007/s10856-019-6221-2
1590,1591,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,2.5,96.547,10.1007/s10856-019-6221-2
1591,1592,2019,Au,I,None,unknown,18,hFOB1.19,H,Fetus,L,24,5,72.806,10.1007/s10856-019-6221-2
1592,1593,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,0.3,98.993,10.1007/s10856-019-6221-2
1593,1594,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,0.6,84.748,10.1007/s10856-019-6221-2
1594,1595,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,1.2,77.41,10.1007/s10856-019-6221-2
1595,1596,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,2.5,76.691,10.1007/s10856-019-6221-2
1596,1597,2019,Au,I,None,unknown,215,hFOB1.19,H,Fetus,L,24,5,41.727,10.1007/s10856-019-6221-2
1597,1598,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,0.3,100,10.1007/s10856-019-6221-2
1598,1599,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,0.6,100.29,10.1007/s10856-019-6221-2
1599,1600,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,1.2,99.424,10.1007/s10856-019-6221-2
1600,1601,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,2.5,100.29,10.1007/s10856-019-6221-2
1601,1602,2019,Au,I,None,unknown,6.3,hFOB1.19,H,Fetus,L,24,5,98.705,10.1007/s10856-019-6221-2
1602,1603,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,0.3,94.416,10.1007/s10856-019-6221-2
1603,1604,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,0.6,92.893,10.1007/s10856-019-6221-2
1604,1605,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,1.2,88.198,10.1007/s10856-019-6221-2
1605,1606,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,2.5,64.848,10.1007/s10856-019-6221-2
1606,1607,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,5,66.244,10.1007/s10856-019-6221-2
1607,1608,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,0.3,90.355,10.1007/s10856-019-6221-2
1608,1609,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,0.6,88.198,10.1007/s10856-019-6221-2
1609,1610,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,1.2,83.503,10.1007/s10856-019-6221-2
1610,1611,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,2.5,23.223,10.1007/s10856-019-6221-2
1611,1612,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,5,13.325,10.1007/s10856-019-6221-2
1612,1613,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,0.3,99.112,10.1007/s10856-019-6221-2
1613,1614,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,0.6,99.112,10.1007/s10856-019-6221-2
1614,1615,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,1.2,99.112,10.1007/s10856-019-6221-2
1615,1616,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,2.5,94.162,10.1007/s10856-019-6221-2
1616,1617,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,5,95.305,10.1007/s10856-019-6221-2
1617,1618,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,0.3,95.07,10.1007/s10856-019-6221-2
1618,1619,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,0.6,90.645,10.1007/s10856-019-6221-2
1619,1620,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,1.2,81.037,10.1007/s10856-019-6221-2
1620,1621,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,2.5,80.025,10.1007/s10856-019-6221-2
1621,1622,2019,Au,I,None,unknown,18,MG-63,H,Adult,L,24,5,74.21,10.1007/s10856-019-6221-2
1622,1623,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,0.3,99.747,10.1007/s10856-019-6221-2
1623,1624,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,0.6,87.105,10.1007/s10856-019-6221-2
1624,1625,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,1.2,82.427,10.1007/s10856-019-6221-2
1625,1626,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,2.5,43.363,10.1007/s10856-019-6221-2
1626,1627,2019,Au,I,None,unknown,215,MG-63,H,Adult,L,24,5,26.422,10.1007/s10856-019-6221-2
1627,1628,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,0.3,99.747,10.1007/s10856-019-6221-2
1628,1629,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,0.6,100,10.1007/s10856-019-6221-2
1629,1630,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,1.2,99.494,10.1007/s10856-019-6221-2
1630,1631,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,2.5,98.736,10.1007/s10856-019-6221-2
1631,1632,2019,Au,I,None,unknown,6.3,MG-63,H,Adult,L,24,5,100,10.1007/s10856-019-6221-2
1632,1633,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,0.3,84.988,10.1007/s10856-019-6221-2
1633,1634,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,0.6,86.849,10.1007/s10856-019-6221-2
1634,1635,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,1.2,85.484,10.1007/s10856-019-6221-2
1635,1636,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,2.5,70.72,10.1007/s10856-019-6221-2
1636,1637,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,5,54.094,10.1007/s10856-019-6221-2
1637,1638,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,0.3,67.99,10.1007/s10856-019-6221-2
1638,1639,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,0.6,16.377,10.1007/s10856-019-6221-2
1639,1640,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,1.2,16.377,10.1007/s10856-019-6221-2
1640,1641,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,2.5,14.764,10.1007/s10856-019-6221-2
1641,1642,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,5,13.896,10.1007/s10856-019-6221-2
1642,1643,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,0.3,94.541,10.1007/s10856-019-6221-2
1643,1644,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,0.6,89.578,10.1007/s10856-019-6221-2
1644,1645,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,1.2,89.826,10.1007/s10856-019-6221-2
1645,1646,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,2.5,88.834,10.1007/s10856-019-6221-2
1646,1647,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,5,86.104,10.1007/s10856-019-6221-2
1647,1648,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,0.3,101.63,10.1007/s10856-019-6221-2
1648,1649,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,0.6,98.37,10.1007/s10856-019-6221-2
1649,1650,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,1.2,98.37,10.1007/s10856-019-6221-2
1650,1651,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,2.5,87.092,10.1007/s10856-019-6221-2
1651,1652,2019,Au,I,None,unknown,18,143B,H,Adult,L,24,5,79.348,10.1007/s10856-019-6221-2
1652,1653,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,0.3,97.011,10.1007/s10856-019-6221-2
1653,1654,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,0.6,82.337,10.1007/s10856-019-6221-2
1654,1655,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,1.2,66.168,10.1007/s10856-019-6221-2
1655,1656,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,2.5,26.223,10.1007/s10856-019-6221-2
1656,1657,2019,Au,I,None,unknown,215,143B,H,Adult,L,24,5,17.12,10.1007/s10856-019-6221-2
1657,1658,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,0.3,102.45,10.1007/s10856-019-6221-2
1658,1659,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,0.6,101.36,10.1007/s10856-019-6221-2
1659,1660,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,1.2,103.26,10.1007/s10856-019-6221-2
1660,1661,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,2.5,102.99,10.1007/s10856-019-6221-2
1661,1662,2019,Au,I,None,unknown,6.3,143B,H,Adult,L,24,5,103.26,10.1007/s10856-019-6221-2
1662,1663,2012,Au,I,Citrate,Negative,18.2,HepG2,H,Adult,L,24,-,84.32,10.1016/j.toxlet.2012.09.025
1663,1664,2012,Au,I,Citrate,Negative,18.2,HepG2,H,Adult,L,24,-,82.4,10.1016/j.toxlet.2012.09.025
1664,1665,2012,Au,I,Citrate,Negative,18.2,HepG2,H,Adult,L,24,-,76.8,10.1016/j.toxlet.2012.09.025
1665,1666,2012,Au,I,Citrate,Negative,18.2,HepG2,H,Adult,L,24,-,76.96,10.1016/j.toxlet.2012.09.025
1666,1667,2012,Au,I,Citrate,Negative,18.2,HepG2,H,Adult,L,24,-,75.04,10.1016/j.toxlet.2012.09.025
1667,1668,2012,Au,I,PAMAM,Positive,10.9,HepG2,H,Adult,L,24,-,73.487,10.1016/j.toxlet.2012.09.025
1668,1669,2012,Au,I,PAMAM,Positive,10.9,HepG2,H,Adult,L,24,-,70.605,10.1016/j.toxlet.2012.09.025
1669,1670,2012,Au,I,PAMAM,Positive,10.9,HepG2,H,Adult,L,24,-,70.173,10.1016/j.toxlet.2012.09.025
1670,1671,2012,Au,I,PAMAM,Positive,10.9,HepG2,H,Adult,L,24,-,67.291,10.1016/j.toxlet.2012.09.025
1671,1672,2012,Au,I,PAMAM,Positive,10.9,HepG2,H,Adult,L,24,-,52.45,10.1016/j.toxlet.2012.09.025
1672,1673,2012,Au,I,Citrate,Negative,18.2,PBMC,H,Adult,P,24,-,83.913,10.1016/j.toxlet.2012.09.025
1673,1674,2012,Au,I,Citrate,Negative,18.2,PBMC,H,Adult,P,24,-,71.159,10.1016/j.toxlet.2012.09.025
1674,1675,2012,Au,I,Citrate,Negative,18.2,PBMC,H,Adult,P,24,-,70.725,10.1016/j.toxlet.2012.09.025
1675,1676,2012,Au,I,Citrate,Negative,18.2,PBMC,H,Adult,P,24,-,66.087,10.1016/j.toxlet.2012.09.025
1676,1677,2012,Au,I,Citrate,Negative,18.2,PBMC,H,Adult,P,24,-,62.609,10.1016/j.toxlet.2012.09.025
1677,1678,2012,Au,I,PAMAM,Positive,10.9,PBMC,H,Adult,P,24,-,75.071,10.1016/j.toxlet.2012.09.025
1678,1679,2012,Au,I,PAMAM,Positive,10.9,PBMC,H,Adult,P,24,-,74.786,10.1016/j.toxlet.2012.09.025
1679,1680,2012,Au,I,PAMAM,Positive,10.9,PBMC,H,Adult,P,24,-,72.08,10.1016/j.toxlet.2012.09.025
1680,1681,2012,Au,I,PAMAM,Positive,10.9,PBMC,H,Adult,P,24,-,67.664,10.1016/j.toxlet.2012.09.025
1681,1682,2012,Au,I,PAMAM,Positive,10.9,PBMC,H,Adult,P,24,-,64.957,10.1016/j.toxlet.2012.09.025
1682,1683,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,4,5,124.78,10.1186/s12989-016-0160-6
1683,1684,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,4,10,128.04,10.1186/s12989-016-0160-6
1684,1685,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,4,20,126.3,10.1186/s12989-016-0160-6
1685,1686,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,4,40,101.09,10.1186/s12989-016-0160-6
1686,1687,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,24,5,110.22,10.1186/s12989-016-0160-6
1687,1688,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,24,10,98.261,10.1186/s12989-016-0160-6
1688,1689,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,24,20,45.217,10.1186/s12989-016-0160-6
1689,1690,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,24,40,20,10.1186/s12989-016-0160-6
1690,1691,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,48,5,100,10.1186/s12989-016-0160-6
1691,1692,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,48,10,66.739,10.1186/s12989-016-0160-6
1692,1693,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,48,20,17.609,10.1186/s12989-016-0160-6
1693,1694,2016,CuO,I,None,Positive,28.2,A549,H,Adult,L,48,40,7.1739,10.1186/s12989-016-0160-6
1767,1768,2015,IronOxide,I,Urea,unknown,150,L929,A,Adult,L,24,200,55.577,10.1016/j.etp.2015.07.005
1768,1769,2015,IronOxide,I,Urea,unknown,150,L929,A,Adult,L,24,400,72.401,10.1016/j.etp.2015.07.005
1769,1770,2017,IronOxide,I,Dextran,Negative,7.5,Monocytes,H,Adult,P,24,10,95,10.2147/IJN.S135189
1770,1771,2017,IronOxide,I,Dextran,Negative,7.5,Monocytes,H,Adult,P,24,20,93,10.2147/IJN.S135189
1771,1772,2017,IronOxide,I,Dextran,Negative,7.5,Monocytes,H,Adult,P,24,50,102.4,10.2147/IJN.S135189
1772,1773,2017,IronOxide,I,Dextran,Negative,7.5,Monocytes,H,Adult,P,24,100,99,10.2147/IJN.S135189
1773,1774,2017,IronOxide,I,Dextran,Negative,7.5,Monocytes,H,Adult,P,48,10,184.82,10.2147/IJN.S135189
1774,1775,2017,IronOxide,I,Dextran,Negative,7.5,Monocytes,H,Adult,P,48,20,221.01,10.2147/IJN.S135189
1775,1776,2017,IronOxide,I,Dextran,Negative,7.5,Monocytes,H,Adult,P,48,50,234.63,10.2147/IJN.S135189
1776,1777,2017,IronOxide,I,Dextran,Negative,7.5,Monocytes,H,Adult,P,48,100,230.74,10.2147/IJN.S135189
1805,1806,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,24,0.028,83.921,10.1016/j.tiv.2016.09.012
1806,1807,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,24,0.061,83.357,10.1016/j.tiv.2016.09.012
1807,1808,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,24,0.131,88.011,10.1016/j.tiv.2016.09.012
1808,1809,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,24,0.281,91.537,10.1016/j.tiv.2016.09.012
1809,1810,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,24,0.604,92.102,10.1016/j.tiv.2016.09.012
1810,1811,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,24,1.298,93.371,10.1016/j.tiv.2016.09.012
1811,1812,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,24,2.791,95.769,10.1016/j.tiv.2016.09.012
1812,1813,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,24,6,71.227,10.1016/j.tiv.2016.09.012
1813,1814,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,48,0.028,99.577,10.1016/j.tiv.2016.09.012
1814,1815,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,48,0.061,96.897,10.1016/j.tiv.2016.09.012
1815,1816,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,48,0.131,95.769,10.1016/j.tiv.2016.09.012
1816,1817,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,48,0.281,97.884,10.1016/j.tiv.2016.09.012
1817,1818,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,48,0.604,95.346,10.1016/j.tiv.2016.09.012
1818,1819,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,48,1.298,97.461,10.1016/j.tiv.2016.09.012
1819,1820,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,48,2.791,95.769,10.1016/j.tiv.2016.09.012
1820,1821,2016,Au,I,Citrate,Negative,13,BALB/c3T3,A,Embryonic,L,48,6,100.71,10.1016/j.tiv.2016.09.012
1821,1822,2016,Au,I,Citrate,Negative,13,NR8383,A,Adult,L,24,0.028,86.46,10.1016/j.tiv.2016.09.012
1822,1823,2016,Au,I,Citrate,Negative,13,NR8383,A,Adult,L,24,0.061,80.395,10.1016/j.tiv.2016.09.012
1823,1824,2016,Au,I,Citrate,Negative,13,NR8383,A,Adult,L,24,0.131,82.37,10.1016/j.tiv.2016.09.012
1824,1825,2016,Au,I,Citrate,Negative,13,NR8383,A,Adult,L,24,0.281,87.729,10.1016/j.tiv.2016.09.012
1825,1826,2016,Au,I,Citrate,Negative,13,NR8383,A,Adult,L,24,0.604,82.793,10.1016/j.tiv.2016.09.012
1826,1827,2016,Au,I,Citrate,Negative,13,NR8383,A,Adult,L,24,1.298,82.087,10.1016/j.tiv.2016.09.012
1827,1828,2016,Au,I,Citrate,Negative,13,NR8383,A,Adult,L,24,2.791,77.715,10.1016/j.tiv.2016.09.012
1828,1829,2016,Au,I,Citrate,Negative,13,NR8383,A,Adult,L,24,6,74.189,10.1016/j.tiv.2016.09.012
1955,1956,2010,CuO,I,None,Negative,52.51,A549,H,Adult,L,24,10,75,10.1016/j.bbrc.2010.04.156
1956,1957,2010,CuO,I,None,Negative,52.51,A549,H,Adult,L,24,25,66,10.1016/j.bbrc.2010.04.156
1957,1958,2010,CuO,I,None,Negative,52.51,A549,H,Adult,L,24,50,48,10.1016/j.bbrc.2010.04.156
1958,1959,2010,CuO,I,None,Negative,52.51,A549,H,Adult,L,24,10,85,10.1016/j.bbrc.2010.04.156
1959,1960,2010,CuO,I,None,Negative,52.51,A549,H,Adult,L,24,25,69,10.1016/j.bbrc.2010.04.156
1960,1961,2010,CuO,I,None,Negative,52.51,A549,H,Adult,L,24,50,46,10.1016/j.bbrc.2010.04.156
1961,1962,2014,CuO,I,None,Negative,30.09,hMSC,H,Adult,P,48,1.78,78.035,10.3109/15376516.2014.928920
1962,1963,2014,CuO,I,None,Negative,30.09,hMSC,H,Adult,P,48,3.16,31.985,10.3109/15376516.2014.928920
1963,1964,2014,CuO,I,None,Negative,30.09,hMSC,H,Adult,P,48,5.62,10.405,10.3109/15376516.2014.928920
1964,1965,2014,CuO,I,None,Negative,30.09,hMSC,H,Adult,P,48,10,4.2389,10.3109/15376516.2014.928920
1965,1966,2014,CuO,I,None,Negative,30.09,hMSC,H,Adult,P,48,17.8,2.1195,10.3109/15376516.2014.928920
1966,1967,2014,CuO,I,None,Negative,30.09,hMSC,H,Adult,P,48,31.6,1.1561,10.3109/15376516.2014.928920
1967,1968,2014,CuO,I,None,Negative,30.09,hMSC,H,Adult,P,48,56.2,0.385,10.3109/15376516.2014.928920
1968,1969,2014,CuO,I,None,Negative,30.09,hMSC,H,Adult,P,48,100,0.385,10.3109/15376516.2014.928920
1969,1970,2016,CuO,I,None,Negative,23,A549,H,Adult,L,24,5,81.514,10.1177/0748233713511512
1970,1971,2016,CuO,I,None,Negative,23,A549,H,Adult,L,24,10,56.477,10.1177/0748233713511512
1971,1972,2016,CuO,I,None,Negative,23,A549,H,Adult,L,24,15,31.441,10.1177/0748233713511512
1972,1973,2012,CuO,I,None,unknown,40,Caco-2,H,Adult,L,24,25,114.06,10.3109/17435390.2011.625127
1973,1974,2012,CuO,I,None,unknown,40,Caco-2,H,Adult,L,48,25,75.332,10.3109/17435390.2011.625127
1974,1975,2012,CuO,I,None,unknown,10,Caco-2,H,Adult,L,24,25,75.862,10.3109/17435390.2011.625127
1975,1976,2012,CuO,I,None,unknown,10,Caco-2,H,Adult,L,48,25,64.721,10.3109/17435390.2011.625127
